
<div>visitor [ˈvizitə] n.访问者，客人，来宾，参观者<br>
wheat [hwi:t] n.小麦<br>
role [rəul] n.角色，作用，任务，职责<br>
weed [wi:d] v.除草，锄草<br>
briefcase [ˈbri:fkeis] n.手提箱，公事皮包<br>
therapy [ˈθerəpi] n.治疗，物理疗法<br>
</div>

<div>access [ˈækses] vi.使用；接近；存取<br>
shock [ʃɔk] v.（使）震动/震惊<br>
dedicate [ˈdedikeit] vt.奉献；献身于<br>
regime [reiˈʒi:m] n.政体，制度<br>
everyone [ˈevriwʌn] pron.（everybody）每人，...<br>
pint [paɪnt] n.品脱<br>
annual [ˈænjuəl] n.年刊；一年生植物<br>
almost [ˈɔ:lməust] adv.几乎，差不多<br>
already [ɔ:lˈredi] adv.已，已经，早已<br>
bottom [ˈbɔtəm] n.底（部）；基础，根基；海底，湖底，...<br>
yield [ji:ld] n.产量，收获<br>
litter [ˈlitə] v.使杂乱，乱丢<br>
enemy [ˈenimi] n.敌人，仇敌，反对者；敌方，危害<br>
first [fə:st] pron.第一名<br>
lose [lu:z] v.丢失，迷路，输掉，亏本，失败，走慢...<br>
shilling [ˈʃɪlɪŋ] n.先令<br>
drawer [drɔ:] n.抽屉<br>
traitor [ˈtreɪtə] n.叛徒，卖国贼<br>
hunger [ˈhʌŋɡə] n.&v.饥饿；渴望<br>
hitherto [ˌhiðəˈtu:] adv.到目前为止，迄今<br>
</div>

<div>steak [steik] n.牛排；大块肉（或鱼）片<br>
testimony [ˈtestiməni] n.证据，证词；表明，说明<br>
crisis [ˈkraisis] n.（pl.crises）危机，紧要关...<br>
shine [ʃain] n.光泽，光<br>
absence [ˈæbsəns] n.缺乏，不存在；缺席，不在<br>
bin [bin] n.垃圾桶；箱子；储物箱<br>
adverb [ˈædvə:b] adj.副词的<br>
wreath [ri:θ] n.花环，花圈<br>
kit [kit] n.成套工具，用具包，工具箱<br>
wall [wɔ:l] vt.筑墙围住，用墙隔开<br>
short [ʃɔ:t] n.短裤<br>
leave [li:v] n.许可；假期<br>
speech [spi:tʃ] n.演说，讲话；言语，语言<br>
erect [iˈrekt] adj.直立的，垂直的<br>
think [θiŋk] v.想，思索；认为，以为；想要；预料<br>
compete [kəmˈpi:t] vi.比赛；竞争；对抗<br>
pause [pɔ:z] v.&n.中止，暂停<br>
repel [riˈpel] v.击退，抵制，使厌恶，使不愉快<br>
evaporate [iˈvæpəreit] v.蒸发，挥发；沉淀；发射；消失<br>
react [riˈækt] v.反应，起作用；（against）反...<br>
</div>

<div>strange [streindʒ] adj.奇怪的，生疏的；外地的；不舒服...<br>
relative [ˈrelətiv] n.亲戚，关系词<br>
respective [risˈpektiv] adj.各自的，各个的<br>
artist [ˈɑ:tist] n.艺术家，美术家；（某方面的）能手<br>
literary [ˈlitərəri] adj.文学的；精通文学的，从事写作的<br>
elegant [ˈeliɡənt] adj.优雅的；端庄的；雅致的<br>
guidance [ˈɡaidəns] n.引导，指导<br>
melon [ˈmelən] n.甜瓜<br>
per [pə:] prep.每；经，由<br>
arrest [əˈrest] vt.逮捕，扣留；阻止；吸引<br>
identify [aiˈdentifai] v.识别，鉴别；（with）把…和…看...<br>
avoid [əˈvɔid] vt.防止，避免；逃避，避开<br>
lion [ˈlaiən] n.狮子<br>
coke [kəʊk] n.焦炭；可口可乐<br>
through [θru:] adj.直达的<br>
quiz [kwiz] n.小型考试，测验，问答比赛<br>
platform [ˈplætfɔ:m] n.平台，台；站台，月台；政纲，党纲<br>
plea [pli:] n.抗辩；请求，恳求，托词，口实<br>
cock [kɔk] n.公鸡，雄鸡；龙头，开关<br>
evening [ˈi:vniŋ] n.傍晚，黄昏，晚上<br>
</div>

<div>timid [ˈtimid] adj.胆怯的，怯懦的<br>
actual [ˈæktʃuəl] adj.实际的；现实的，真实的，目前的<br>
toast [təust] v.烘，烤；（向…）祝酒<br>
grasp [ɡrɑ:sp] v.&n.抓住，抓紧；掌握，领会<br>
strip [strip] n.窄条，条纹<br>
allowance [əˈlauəns] n.补贴，津贴；零用钱；减价，折扣；允...<br>
instance [ˈinstəns] n.例子，事例，例证<br>
season [ˈsi:zən] n.季，季节，时节<br>
class [klɑ:s] n.班级，年级；种类，等级，阶级；（一...<br>
pet [pet] adj.宠爱的，表示亲昵的<br>
submit [səbˈmit] v.（to）使服从，屈服；（to）呈送...<br>
gymnasium [dʒimˈneiziəm] n.（gym）体育馆，健身房<br>
summon [ˈsʌmən] v.召唤；传讯；鼓起（勇气），振作（精...<br>
thousand [ˈθaʊzənd] n.一千；（pl.）许许多多，成千上万<br>
overseas [ˌəuvəˈsi:z] adv.在海外<br>
desperate [ˈdespərit] adj.不顾一切的，铤而走险的；绝望的...<br>
fluent [ˈflu:ənt] adj.流利的，流畅的<br>
couch [kautʃ] vt.表达<br>
contract [kənˈtrækt] n.（承包）合同/契约kən'tr...<br>
world [wɜː(r)ld] n.世界，地球；…界，领域；世间；全世...<br>
</div>

<div>food [fu:d] n.食物，粮食，养料<br>
pearl [pə:l] n.珍珠<br>
father [ˈfɑ:ðə] n.父亲；创始人，发明者；（Fathe...<br>
domain [dəuˈmein] n.（活动，思想等）领域，范围；领地<br>
Latin [ˈlætn] n.拉丁语<br>
maintenance [ˈmeintinəns] n.维修，保养，维持，保持，生活费用<br>
tan [tæn] vt.晒黑<br>
hero [ˈhiərəu] n.英雄，勇士；男主角，男主人公<br>
forward [ˈfɔ:wəd] v.转交<br>
mend [mend] v.修理，缝补；改正，改进<br>
utmost [ˈʌtməust] n.极限，极度，最大可能<br>
comfort [ˈkʌmfət] v.安慰，使舒适<br>
cape [keip] n.海角，岬；披肩，短披风<br>
illness [ˈilnis] n.病，疾病<br>
project [prəˈdʒekt] n.方案，工程，项目prəˈdʒɛ...<br>
illusion [iˈlju:ʒən] n.幻想，错误的观念；错觉，幻觉，假象<br>
tumour [ˈtjuːmə(r)] n.（tumor）（肿）瘤，肿块<br>
servant [ˈsə:vənt] n.仆人<br>
recur [riˈkə:] v.（尤指不好的事）一再发生；重现<br>
zip [zip] v.（用拉链或像拉链那样）合上或打开<br>
</div>

<div>myth [miθ] n.神话；虚构的理论<br>
gaol [dʒeil] vt.使…坐牢<br>
activate [ˈæktiveit] vt.启动，激活；驱动，驱使；使开始起...<br>
threaten [ˈθretən] v.恐吓，威胁；有…危险，快要来临<br>
engagement [inˈɡeidʒmənt] n.约会，约定；婚约，订婚<br>
summary [ˈsʌməri] adj.概括的，简略的<br>
credit [ˈkredit] n.信用贷款，赊欠；名誉，名望，信誉<br>
away [əˈwei] adv.在远处；离开；渐渐远去；去掉<br>
tray [trei] n.盘，碟，托盘<br>
redundant [riˈdʌndənt] adj.多余的，过剩的；（食物）丰富的...<br>
bless [bles] v.祝福，保佑<br>
tomorrow [təˈmɔrəu] adv.在明天，在明日<br>
saw [sɔ:] v.锯，锯开<br>
slit [slit] n.细长裂缝，狭长切口<br>
particle [ˈpɑ:tikl] n.粒子，微粒；极小量；小品词，虚词<br>
core [kɔ:] n.果核；中心，核心<br>
idiom [ˈidiəm] n.习语；成语；方言；（艺术等的）风格...<br>
division [diˈviʒən] n.分，分割；部门，科，处；除法；分界...<br>
allow [əˈlau] vt.允许，准许；承认；给予；（for...<br>
abandon [əˈbændən] vt.离弃，丢弃；遗弃，抛弃；放弃<br>
</div>

<div>little [ˈlitl] adv.不多，几乎没有<br>
shave [ʃeiv] n.刮脸<br>
exhibition [ˌeksiˈbiʃən] n.展览会；陈列，展览<br>
casualty [ˈkæʒjuəlti] n.伤亡人员；受害人；损失的东西；急诊...<br>
arrive [əˈraiv] vi.到达；（时间、事件）到来，发生；...<br>
crawl [krɔ:l] v.&n.爬行，蠕动；缓慢（的）行进<br>
prospect [ˈprɔspekt] n.景色；前景，前途，展望<br>
bother [ˈbɔðə] n.烦恼，焦急<br>
interface [ˈintəfeis] v.（使）互相联系<br>
open [ˈəupən] v.开<br>
hobby [ˈhɔbi] n.业余爱好，嗜好，兴趣<br>
centimetre [ˈsentiˌmi:tə] n.（centimeter）厘米<br>
negligible [ˈneɡlidʒəbl] adj.可忽略不计的，微不足道的<br>
census [ˈsensəs] n.人口普查（调查）<br>
adhere [ədˈhiə] vi.（to）粘着；坚持，遵守；依附，...<br>
violate [ˈvaiəleit] vt.违背；冒犯；侵犯；亵渎<br>
lunar [ˈlju:nə] adj.月亮的<br>
practice [ˈpræktis] n.练习，实践，实际，业务，惯例，习惯<br>
ourselves [ˌauəˈselvz] pron.[反身代词]我们自己；我们亲...<br>
occurrence [əˈkʌrəns] n.发生，出现；事件，事故，发生的事情<br>
</div>

<div>pub [pʌb] n.（英国）小酒店；小旅馆<br>
sew [səu] v.缝，缝纫<br>
reverse [riˈvə:s] v.颠倒，倒转<br>
college [ˈkɔlidʒ] n.学院，高等专科学校，大学<br>
possession [pəˈzeʃən] n.拥有；所有权；所有物；财产<br>
ritual [ˈritʃuəl] n.（宗教）仪式，典礼<br>
ought [ɔ:t] v.应该（后应接to，再接动词原形）<br>
accuse [əˈkju:z] vi.指控，指责<br>
faculty [ˈfækəlti] n.才能；学院，系；（学院或系的）全体...<br>
poster [ˈpəustə] n.海报，张贴的大幅广告<br>
summer [ˈsʌmə] adj.夏季的<br>
spoon [spu:n] n.匙，调羹<br>
lamb [læm] n.羔羊，小羊；羔羊肉<br>
fee [fi:] n.费（会费，学费等）；酬金<br>
ignore [iɡˈnɔ:] v.不理，不顾，忽视<br>
idiot [ˈidiət] n.白痴；极蠢的人；笨蛋<br>
load [ləud] n.装载（量），负荷（量）；（一）担<br>
actress [ˈæktris] n.女演员<br>
cargo [ˈkɑ:ɡəu] n.船货，货物<br>
concern [kənˈsə:n] n.关心；（利害）关系<br>
</div>

<div>hardly [ˈhɑ:dli] adv.几乎不，简直不；仅仅<br>
amend [əˈmend] vt.修改，修订，改进<br>
divide [diˈvaid] v.分，划分，分开；分配；（by）除<br>
chimney [ˈtʃimni] n.烟囱<br>
bite [bait] n.咬；咬伤；疼痛；少许<br>
disrupt [disˈrʌpt] vt.使混乱，使崩溃，使分裂，使瓦解<br>
let [let] v.让，允许，听任；设，假设；出租，租...<br>
ground [ɡraund] n.地，地面，土地；场地，场所；理由，...<br>
nonetheless [ˌnʌnðəˈles] adv.虽然如此，但是<br>
squirrel [ˈskwirəl] n.松鼠<br>
irony [ˈaiərəni] n.反语；冷嘲<br>
seal [si:l] v.封，密封<br>
erroneous [iˈrəunjəs] adj.错误的，不正确的<br>
bug [bʌɡ] v.窃听<br>
audio [ˈɔːdiəʊ] n.&adj.音频（响）（的）；声音（...<br>
judgement [ˈdʒʌdʒmənt] n.审判，判决；判断（力）；看法，意见<br>
nothing [ˈnʌθiŋ] n.没有东西；什么也没有；无关紧要的人...<br>
pharmacy [ˈfɑ:məsi] n.药房，药剂学，制药业，配药业，一批...<br>
disgust [disˈɡʌst] v.使厌恶<br>
conspicuous [kənˈspikjuəs] adj.显眼的，明显的<br>
</div>

<div>really [ˈriəli] adv.确实，实在，真正地，果然<br>
enjoy [inˈdʒɔi] vt.享受…的乐趣；欣赏；喜爱<br>
field [fi:ld] n.田野；运动场；（电或磁）场；领域，...<br>
housing [ˈhauziŋ] n.住房，住房供给；（外、阀）壳，防护...<br>
nominate [ˈnɔmineit] v.提名，任命<br>
profound [prəˈfaund] adj.深刻的，意义深远的；渊博的，造...<br>
ascertain [ˌæsəˈtein] vt.确定，查明，弄清<br>
lean [li:n] adj.瘦的，无脂肪的<br>
money [ˈmʌni] n.货币，钱<br>
appendix [əˈpendiks] n.附录，附属物；阑尾，盲肠<br>
nap [næp] n.小睡，打盹<br>
fail [feil] v.失败，不及格；衰退，减弱<br>
comb [kəum] v.梳（理）<br>
installment [ɪn'stɔːlmənt] n.（instalment）分期付款；...<br>
foul [faul] n.犯规<br>
dialog ['daɪəlɒg] n.（dialogue）对话，对白<br>
amplify [ˈæmplifai] vt.放大，增强；详述，详加解说<br>
illustrate [ˈiləstreit] v.举例说明，阐明；图解，加插图<br>
assign [əˈsain] vt.派给，分配；选定，指定（时间、地...<br>
cloak [kləuk] vt.掩盖，掩饰<br>
</div>

<div>imagination [iˌmædʒiˈneiʃən] n.想象（力）；空想，幻觉；想象出来的...<br>
sneeze [sni:z] n.喷嚏<br>
proper [ˈprɔpə] adj.适合的；合乎体统的；固有的；有...<br>
million [ˈmiljən] num.&n.百万，百万个<br>
insect [ˈinsekt] n.昆虫<br>
artistic [ɑ:ˈtistik] adj.艺术（家）的，美术（家）的；善...<br>
suitable [ˈsju:təbl] adj.（for）合适的，适宜的<br>
strenuous [ˈstrenjuəs] adj.费力的，艰辛的；奋发的，努力的<br>
decay [diˈkei] v.&n.腐朽，腐烂；衰减，衰退<br>
disclose [disˈkləuz] v.揭示，泄露<br>
along [əˈlɔŋ] prep.沿着，顺着<br>
sex [seks] n.性别，性<br>
unfold [ʌnˈfəuld] vi.呈现；显示；展示<br>
inland [ˈinlənd] adj.&adv.国内，内地，内陆<br>
bronze [brɔnz] n.青铜；青铜色，古铜色；青铜制品，铜...<br>
vigorous [ˈviɡərəs] adj.朝气蓬勃的，精力旺盛的<br>
pale [peil] adj.苍白的，灰白的；浅的，暗淡的<br>
kilo [ˈkiləu] n.千克<br>
gentle [ˈdʒentl] adj.和蔼的，文雅的，有礼貌的<br>
household [ˈhaushəuld] adj.家庭（务）的，家常的<br>
</div>

<div>counter [ˈkauntə] v.反对，反击<br>
worth [wə:θ] adj.值…的，价值…的，值得…的<br>
minority [maiˈnɔriti] n.少数，少数派，少数民族<br>
murmur [ˈmə:mə] v.&n.小声说（话）；小声抱怨，咕哝<br>
found [faund] vt.建立；创立；创办；使有根据；铸造...<br>
auxiliary [ɔ:ɡˈziljəri] n.辅助者，辅助设备<br>
relativity [ˌreləˈtiviti] n.相关（性）；相对论<br>
conceal [kənˈsi:l] v.隐藏，隐瞒，隐蔽<br>
arrow [ˈærəu] n.箭，矢，箭状物；箭头符号<br>
document [ˈdɔkjumənt] n.公文，文献<br>
fax [fæks] n.&v.传真（机）<br>
focus [ˈfəukəs] v.（on）使聚集<br>
horn [hɔ:n] n.（牛羊等的）角；号，喇叭；角状物；...<br>
detect [diˈtekt] v.察觉，发觉，侦察，探测<br>
emigrate [ˈemiɡreit] v.（反）immigrate；（to，...<br>
tennis [ˈtenɪs] n.网球<br>
prove [pru:v] v.证明，证实；检验；考验；鉴定；结果...<br>
remnant [ˈremnənt] adj.剩余的，残留的<br>
nail [neil] v.将…钉牢，钉住<br>
fixture [ˈfikstʃə] n.固定设备；预定日期；比赛时间；常客<br>
</div>

<div>map [mæp] vt.在地图上标示出，绘制地图<br>
tempo [ˈtempəu] n.节奏，行进速度；（音乐的）速度<br>
dare [dɛə] v.敢，胆敢<br>
assist [əˈsist] vi.帮忙，参加<br>
construction [kənˈstrʌkʃən] n.建造，构造；建筑物，结构；解释<br>
security [siˈkjuəriti] n.安全（感），防御（物），保证（人）...<br>
historian [hisˈtɔ:riən] n.历史学家<br>
relate [riˈleit] v.叙述，讲述；使互相关联<br>
glorious [ˈɡlɔ:riəs] adj.壮丽的，辉煌的；光荣的<br>
newspaper [ˈnju:sˌpeipə] n.报纸<br>
clone [kləun] v.克隆<br>
saucer [ˈsɔ:sə] n.茶托，碟子<br>
wood [wud] n.木材，木头，木料；（pl.）森林，...<br>
operational [ˌɔpəˈreiʃənəl] adj.操作的，运转的，起作用的，经营...<br>
rally [ˈræli] n.聚集，集会，拉力赛<br>
design [diˈzain] n.设计，图样<br>
ruby [ˈru:bi] n.红宝石<br>
spade [speid] n.铁锹，铲子<br>
postman [ˈpəustmən] n.邮递员<br>
tension [ˈtenʃən] n.（紧张）状态；拉（绷）紧；张力，拉...<br>
</div>

<div>cow [kau] n.母牛，奶牛<br>
fabulous [ˈfæbjuləs] adj.极好的；极为巨大的；寓言中的，...<br>
gracious [ˈɡreiʃəs] adj.亲切的，客气的；宽厚的，仁慈的<br>
restaurant [ˈrestərənt] n.餐馆，饭店<br>
compact [kəmˈpækt] v.使紧凑，压缩<br>
decimal [ˈdesiməl] n.小数<br>
sightseeing [ˈsaitˌsi:ɪŋ] n.观光，游览<br>
vertical [ˈvə:tikəl] n.垂线<br>
similar [ˈsimilə] adj.（to）相似的，类似的<br>
pin [pin] v.（up）钉住，别住<br>
wrap [ræp] n.披肩，围巾<br>
considerate [kənˈsidərit] adj.考虑周到的，体谅的<br>
exert [iɡˈzə:t] v.尽（力），施加（压力等），努力<br>
distribute [disˈtribju:t] v.分发；分配；分布；配（电）；（ov...<br>
waterfall [ˈwɔ:təˌfɔ:l] n.瀑布<br>
barely [ˈbɛəli] adv.勉强，几乎没有；赤裸裸地，无遮...<br>
sustain [səˈstein] vt.支撑，撑住；维持，持续，经受，忍...<br>
cruel [ˈkru:əl] adj.残忍的，残酷的<br>
corn [kɔ:n] n.谷物，庄稼，玉米<br>
initiative [iˈniʃiətiv] n.第一步，创始，主动精神<br>
</div>

<div>lung [lʌŋ] n.肺<br>
stuff [stʌf] v.填满，塞满<br>
significance [siɡˈnifikəns] n.意义，含义；重要性，重要的<br>
sovereign [ˈsɔvrin] n.君主，国王，统治者<br>
grin [ɡrin] n.&v.露齿而笑，咧嘴一笑<br>
sentence [ˈsentəns] v.宣判，判决<br>
lovely [ˈlʌvli] adj.可爱的，好看的；令人愉快的，美...<br>
murder [ˈmə:də] v.&n.谋杀，凶杀<br>
will [wil] n.意志；决心；愿望<br>
skillful [ˈskilful] adj.灵巧的，娴熟的<br>
pioneer [ˌpaiəˈniə] n.先驱，倡导者，开拓者<br>
more [mɔ:] adv.更，更多<br>
understanding [ˌʌndəˈstændiŋ] adj.了解的，通情达理的<br>
overhear [ˌəuvəˈhiə] v.偶然听到，从旁听到<br>
treason [ˈtri:zn] n.谋反，通敌，叛国<br>
accommodation [əˌkɔməˈdeiʃən] n.住宿，留宿；膳宿供应<br>
inherit [inˈherit] vt.继承（金钱等），经遗传而得（性格...<br>
soar [sɔ:] vi.高飞，翱翔；飞涨；高耸<br>
trousers  n.裤子<br>
setting [ˈsetiŋ] n.安置；落山；（固定东西的）柜架底座...<br>
</div>

<div>connection [kəˈnekʃən] n.（connexion）联系，连接；...<br>
scout [skaut] v.搜索，侦察<br>
stadium [ˈsteidjəm] n.体育场<br>
suicide [ˈsjuisaid] n.自杀；自杀性的行为<br>
between [biˈtwi:n] adv.在中间<br>
event [iˈvent] n.重大事件，事情<br>
attractive [əˈtræktiv] adj.吸引人的，引人注意的；漂亮的，...<br>
metaphor [ˈmetəfə] n.隐喻，暗喻<br>
life [laif] n.生命，生存；一生，寿命；生活；生物<br>
diminish [diˈminiʃ] v.缩小，减少，递减<br>
fond [fɒnd] adj.（of）喜爱的，爱好的<br>
conscience [ˈkɔnʃəns] n.良心，良知<br>
stability [stəˈbiliti] n.稳定，安定<br>
weep [wi:p] n.哭泣<br>
sock [sɔk] n.短袜<br>
portion [ˈpɔ:ʃən] n.一部分，一份<br>
capsule [ˈkæpsju:l] n.胶囊；太空舱<br>
spring [spriŋ] v.跳，跳跃；发源；使裂开<br>
metal [ˈmetl] n.金属，金属制品<br>
form [fɔ:m] v.组成，构成；形成<br>
</div>

<div>commend [kəˈmend] v.称赞，表扬；委托保管；推荐<br>
storey [ˈstɔ:ri] n.楼，层<br>
practitioner [prækˈtiʃənə] n.实践者，从事者；（医生或律师等）开...<br>
condense [kənˈdens] v.（使）冷凝，（使）凝结；浓缩，压缩...<br>
facilitate [fəˈsiliteit] v.使变得（更）容易；使便利；推动；帮...<br>
Wednesday [ˈwenzdi] n.星期三<br>
cope [kəup] v.（with）竞争，对抗；（with...<br>
junk [dʒʌŋk] n.废弃物，废旧物；舢板<br>
employ [imˈplɔi] n.&v.雇用；用，使用<br>
notion [ˈnəuʃən] n.概念，想法，意念，看法，观点<br>
repeatedly [riˈpi:tidli] adv.重复地，再三地<br>
pink [piŋk] adj.粉红色的<br>
gender [ˈdʒendə] n.（生理上的）性；（名词、代词等的）...<br>
lake [leik] n.湖泊，湖水<br>
anyhow [ˈenihau] adv.不管怎么说，无论如何；不论用何...<br>
job [dʒɔb] n.工作，职位；任务，职责<br>
tower [ˈtauə] v.高耸<br>
haul [hɔ:l] v.拖曳，拖运，用力拖<br>
projector [prəˈdʒektə] n.放映机，幻灯机，投影仪<br>
grip [ɡrip] v.&n.紧握，抓紧；掌握<br>
</div>

<div>push [puʃ] n.推，推力；促进，推进<br>
paper [ˈpeipə] n.纸；纸制品；报纸；（pl.）文件；...<br>
mission [ˈmiʃən] n.使命，任务；使团，代表团<br>
jam [dʒæm] v.（使）阻塞，（使）轧住不动<br>
wedge [wedʒ] vt.楔牢，楔入，挤进<br>
forehead [ˈfɔrid] n.前额；（任何事物的）前部<br>
abuse [əˈbju:s] n.滥用；恶习；弊端<br>
naughty [ˈnɔ:ti] adj.顽皮的，淘气的<br>
door [dɔ:] n.门；门口，出入口；人家；通道<br>
few [fju:] adj.[表肯定]有些，几个；[表否定...<br>
refuse [ˈrefju:s] v.拒绝，谢绝ˈrefju:sn...<br>
exile [ˈeksail] vt.流放，放逐，把…充军<br>
pebble [ˈpebl] n.卵石<br>
performance [pəˈfɔ:məns] n.履行，执行；表演，演出；性能，特性...<br>
tug [tʌɡ] n.拖；苦干；拖船<br>
spine [spain] n.脊柱，脊椎；（动植物的）刺；书脊<br>
mate [meit] v.结伴，配对，交配<br>
church [tʃə:tʃ] n.教堂；教会，教派；礼拜仪式<br>
owl [aul] n.猫头鹰<br>
category [ˈkætiɡəri] n.种类，部属，类目；范畴，类型<br>
</div>

<div>west [west] adv.向西<br>
mood [mu:d] n.心情，情绪；语气<br>
emit [iˈmit] vt.发出；放射；吐露；散发；发表；发...<br>
honest [ˈɔnist] adj.诚实的，正直的，老实的<br>
anticipate [ænˈtisipeit] vt.预料；期望；预先考虑；抢先；提前...<br>
liberal [ˈlibərəl] adj.慷慨的，大方的；富足的；自由的...<br>
expertise [ˌekspɜːˈtiːz] n.专门知识（或技能等），专长<br>
group [ɡru:p] v.分组<br>
capitalism [ˈkæpitəlizəm] n.资本主义<br>
shift [ʃift] n.转换，转变；（轮）班，（换）班<br>
spy [spai] v.当间谍，刺探；察觉，发现<br>
composition [ˌkɔmpəˈziʃən] n.作品，作文，乐曲；作曲；结构，组成...<br>
quote [kwəut] v.引用，援引<br>
admission [ədˈmiʃən] n.允许进入；承认；入场费，入场券<br>
crowd [kraud] v.聚集，群集；挤满，拥挤<br>
initial [iˈniʃəl] n.词首大写字母<br>
distress [disˈtres] v.使苦恼<br>
regulation [ˌreɡjuˈleiʃən] n.规则，规章；调节，校准；调整<br>
postcard [ˈpəʊstkɑːd] n.明信片<br>
thirsty [ˈθə:sti] adj.口渴的；（for）渴望的，热望...<br>
</div>

<div>frank [fræŋk] adj.坦白的，直率的<br>
physician [fiˈziʃən] n.内科医生<br>
envelope [ˈenvələup] n.信封，信皮；封套<br>
fry [frai] v.油煎，油炸<br>
failure [ˈfeiljə] n.失败，不及格；失败者；故障，失灵；...<br>
melody [ˈmelədi] n.旋律，曲调；悦耳的音乐<br>
congratulate [kənˈɡrætjuleit] v.（on）祝贺，向…致贺词<br>
hover [ˈhɔvə] vi.（鸟）盘旋，翱翔，（人）逗留，在...<br>
proclaim [prəˈkleim] v.宣告，声明<br>
ceiling [ˈsi:liŋ] n.天花板；最高限额<br>
vulnerable [ˈvʌlnərəbl] adj.易受攻击的<br>
