
<div>meteorite [ˈmi:ti:əˌraɪt] n.陨星，陨石<br>
interpretation [ˌɪntə:priˈteiʃən] n.解释<br>
epidemic [ˌepiˈdemik] n.传染病，流行病<br>
stipulation [ˌstɪpjəˈleɪʃən] n.规定，条款<br>
cosmic [ˈkɔzmik] adj.宇宙的<br>
endless [ˈendlis] adj.无止境的<br>
persevere [ˌpə:siˈviə] vi.坚持不懈，不屈不挠<br>
careerism [kəˈriərizəm] n.野心，追求名利<br>
burrow [ˈbʌrəu] vi.挖地洞<br>
</div>

<div>bore [bɔ:] vt.钻孔；令人厌烦<br>
roam [rəum] vi.漫游，漫步<br>
solicitor [səˈlisitə] n.律师，法律顾问<br>
accumulate [əˈkju:mjuleit] vi.堆积，积聚；积累<br>
stunning [ˈstʌnɪŋ] adj.令人惊叹的，极好的<br>
rodent [ˈrəʊdnt] n.啮齿类动物<br>
porcupine [ˈpɔ:kjəˌpaɪn] n.[动]豪猪，箭猪<br>
crew [kru:] n.全体工作人员；同事们<br>
coin [kɔin] vt.铸造（钱币），杜撰（单词、短语）<br>
spectator [spekˈteitə] n.参观者，观众<br>
thousandfold ['θaʊzndfəʊld] adj.千倍的<br>
inflation [inˈfleiʃən] n.通货膨胀<br>
professionalism [prəˈfeʃənəˌlɪzəm] n.职业行为，专业技巧<br>
generate [ˈdʒenəreit] vt.造成，产生；产卵<br>
threaten [ˈθretən] vt.威胁；预示凶兆，可能发生<br>
geomagnetic [ˌdʒiːəʊmæɡˈnetɪk] adj.地磁的<br>
drip [drip] v.（使）滴下<br>
accessory [ækˈsesəri] n.附件，零件<br>
eradicate [ɪˈrædɪˌkeɪt] vt.根除，杜绝<br>
pastel [pæˈstel] adj.柔和的<br>
</div>

<div>fir [fɜ:] n.冷杉<br>
exclude [iksˈklu:d] vt.把…排除在外，排斥<br>
capillary [ˈkæpəˌleri:] n.毛细血管<br>
infest [ɪnˈfest] vt.骚扰，遍布于<br>
symmetry [ˈsimitri] n.对称，匀称<br>
rally [ˈræli] v.召集，集合<br>
hatchet [ˈhætʃɪt] n.短柄斧<br>
occurrence [əˈkʌrəns] n.事件；发生<br>
orbital [ˈɔ:bɪtl] adj.轨道的<br>
immediately [iˈmi:diətli] adv.立即，马上<br>
purify [ˈpjuərifai] vt.使纯净；净化<br>
commercial [kəˈmə:ʃəl] adj.商业的，贸易的<br>
dive [daiv] vi.潜水；跳水<br>
conversational [ˌkɔnvəˈseɪʃɵnl] adj.对话的，会话的<br>
wit [wit] n.智力，才智<br>
shipload [ˈʃɪpˌləʊd] n.船货，一船上的载货<br>
deceptive [diˈseptiv] adj.欺骗的，导致误解的<br>
negotiation [nɪˌgəʊʃi:ˈeɪʃən] n.商议，谈判<br>
inert [ɪnˈɜ:t] adj.惰性的；不活泼的<br>
departure [diˈpɑ:tʃə] n.离开，出发<br>
</div>

<div>suitable [ˈsju:təbl] adj.适当的，相配的<br>
starve [stɑ:v] v.挨饿<br>
pendant [ˈpendənt] n.垂饰；吊坠<br>
memorize [ˈmeməraiz] vt.记住，熟记<br>
woods [wudz] n.森林<br>
ally [ˈælaɪ] v.结盟<br>
designate [ˈdeziɡneit] vt.指定，任命<br>
fermentation [ˌfɜ:mənˈteɪʃən] n.发酵<br>
motive [ˈməutiv] n.动机<br>
impersonation [ɪmˌpɜːsəˈneɪʃn] n.模仿，扮演<br>
poverty [ˈpɔvəti] n.贫困<br>
hurl [hə:l] vt.用力投掷<br>
pit [pit] vt.使对抗，使相斗<br>
interval [ˈintəvəl] n.间隔<br>
excel [ikˈsel] vi.胜过，擅长<br>
troupe [tru:p] n.剧团<br>
slander [ˈslændər] n.诽谤<br>
patriotic [ˌpætriˈɔtik] adj.爱国的<br>
accidental [ˌæksiˈdentl] adj.意外的，偶然的<br>
silversmith [ˈsɪlvəˌsmɪθ] n.银器匠<br>
</div>

<div>underdeveloped [ˌʌndədɪˈveləpt] adj.不发达的<br>
grateful [ˈɡreitful] adj.感激的，感谢的<br>
confer [kənˈfə:] v.协商，商议；颁给，赋予<br>
ambition [æmˈbiʃən] n.雄心，抱负<br>
withdraw [wiðˈdrɔ:] v.收回，撤销<br>
embellishment [imˈbeliʃmənt] n.装饰，修饰<br>
twist [twist] v.扭伤，拧转<br>
walkout [ˈwɔ:kˌaʊt] n.罢工<br>
contract [kənˈtrækt] v.收缩；签合同，订契约ˈkɔnt...<br>
harmony [ˈhɑ:məni] n.协调，融洽<br>
attorney [əˈtə:ni] n.代理人，辩护律师<br>
roast [rəust] vt.烤，烘<br>
nucleus [ˈnju:kliəs] n.合子，核心<br>
jury [ˈdʒuəri] n.陪审团<br>
exploitation [ˌeksplɔɪˈteɪʃən] n.开发，开采<br>
renunciation [rɪˌnʌnsi:ˈeɪʃən] n.放弃；宣布终止<br>
demobilize [di:ˈməʊbəˌlaɪz] vt.复员<br>
urgent [ˈə:dʒənt] adj.紧急的，迫切的<br>
topsoil [ˈtɔpˌsɔɪl] n.表层土<br>
alternative [ɔ:lˈtə:nətiv] n.可选事物，另一种选择<br>
</div>

<div>continuity [ˌkɔntiˈnjuiti] n.连续性，连贯性<br>
weed [wi:d] n.杂草<br>
elevator [ˈeliveitə] n.电梯，起重机；活动谷仓<br>
incomprehensible [ˌɪnkɔmprɪˈhensəbəl] adj.不能理解的，费解的<br>
delirium [dɪˈlɪəri:əm] n.神志不清，发狂<br>
clergy [ˈklə:dʒi] n.牧师<br>
nostalgia [nɔˈstældʒə] n.思家病，怀念，怀旧<br>
sympathetic [ˌsimpəˈθetik] adj.有同情心的；赞成的，合意的<br>
tapering  adj.尖端细的<br>
formidable [ˈfɔ:midəbl] adj.令人敬畏的；可怕的；艰巨的<br>
fume [fju:m] n.烟，气体<br>
meteorology [ˌmi:ti:əˈrɔlədʒi:] n.气象学<br>
postoperative [ˈpəustˈɔpərətiv] adj.手术后的<br>
dragonfly [ˈdrægənˌflaɪ] n.蜻蜓<br>
mobility [məʊˈbɪlɪti:] n.流动性；灵活性<br>
dioxide [daɪˈɔksaɪd] n.二氧化物<br>
packer [ˈpækə] n.打包工，打包机<br>
matchless [ˈmætʃlɪs] adj.无敌的；无比的<br>
encase [enˈkeɪs] vt.装入，包住，围<br>
ambitious [æmˈbiʃəs] adj.有雄心的，渴望成功的<br>
</div>

<div>bedrock [ˈbedrɔk] n.基础；基石<br>
indicate [ˈindikeit] vt.指示，指出；象征，表明<br>
morphology [mɔ:ˈfɔlədʒi] n.形态学，形态论<br>
preceding [priˈsi:diŋ] adj.在前的，前面的<br>
populous [ˈpɔpjələs] adj.人口稠密的，人口多的<br>
watercourse [ˈwɔ:təkɔ:s] n.水道，河道<br>
stretch [stretʃ] v.延伸，伸长<br>
cupboard [ˈkʌbəd] n.食橱，碗碟柜<br>
ascend [əˈsend] vt.（渐渐）上升，升高；攀登<br>
predictable [prɪˈdɪktəbl] adj.可预见的<br>
lyric [ˈlirik] n.抒情诗；歌词<br>
capacity [kəˈpæsiti] n.容量；能力<br>
tube [tju:b] n.管子；电子管，显像管<br>
chivalry [ˈʃɪvəlri:] n.骑士气概，侠义；（男人）对女人彬彬...<br>
indent [ɪnˈdent] vt.切割成锯齿状；缩进排版<br>
veneration [ˌvenəˈreɪʃən] n.尊敬；尊崇<br>
opportunity [ˌɔpəˈtju:niti] n.机会，时机<br>
hornbill [ˈhɔ:nbil] n.犀鸟，犀鸟科<br>
buggy [ˈbʌgi:] n.小马车，婴儿车<br>
engraving [enˈgreɪvɪŋ] n.雕刻术，雕版，雕版图<br>
</div>

<div>malnutrition [ˈmælnjuˈtriʃən] n.营养不良<br>
literally [ˈlitərəli] adv.照字面意义地，逐字地<br>
reservoir [ˈrezəvwɑ:] n.水库，蓄水池<br>
impose [imˈpəuz] vt.把…强加于；强制实行<br>
decimal [ˈdesiməl] n.小数<br>
discern [diˈsə:n] vt.看出；察觉到<br>
buckle [ˈbʌkl] v.扣紧；（使）变弯曲<br>
fervor [ˈfɜ:və] n.热情，热烈<br>
fringe [frindʒ] adj.边缘的<br>
headquarters [ˈhedˈkwɔ:təz] n.司令部，总部<br>
alert [əˈlə:t] n.警戒，警报<br>
circumstance [ˈsə:kəmstəns] n.环境，情况<br>
scaled  adj.有鳞状斑点的，有鳞的<br>
provincialism [prəˈvinʃlˌɪzəm] n.地方主义，心胸狭窄<br>
prudent [ˈpru:dnt] adj.审慎的，深谋远虑的<br>
discomfort [dɪsˈkʌmfət] n.不适<br>
outlet [ˈautlet] n.（河流、烟等）出口<br>
chronology [krəˈnɔlədʒi:] n.年代学，年表<br>
famine [ˈfæmin] n.饥荒，饥饿<br>
saddle [ˈsædl] n.鞍子，马鞍<br>
</div>

<div>ambience [ˈæmbi:əns] n.周围环境，气氛<br>
sustained [səˈsteɪnd] adj.持续的，持久的<br>
aggressiveness [əˈɡresɪvnəs] n.进取精神，侵犯，侵略<br>
compute [kəmˈpju:t] vt.计算，估算<br>
utter [ˈʌtə] adj.全然的，完全的<br>
committee [kəˈmiti] n.委员会<br>
typify [ˈtɪpəˌfaɪ] vt.代表，为…之典型<br>
welfare [ˈwelfɛə] n.福利<br>
shift [ʃift] n.轮班；转移；改变<br>
questionnaire [ˌkwestiəˈnɛə] n.调查表，问卷<br>
available [əˈveiləbl] adj.自由的，有空的；可利用的，可得...<br>
horror [ˈhɔrə] n.惊骇；恐怖<br>
opposing  adj.相反的，对立的<br>
locomotion [ˌləʊkəˈməʊʃən] n.运动，移动<br>
vigorous [ˈviɡərəs] adj.健壮的，精力旺盛的；有力的<br>
subsequently [ˈsʌbsɪkwəntlɪ] adv.随后<br>
flexibility [ˌfleksɪˈbɪlɪtɪ] n.灵活性<br>
mundane [mʌnˈdeɪn] adj.普通的；平凡的；单调的<br>
oval [ˈəuvəl] adj.卵形的，椭圆的<br>
percussion [pəˈkʌʃən] n.打击乐器；震荡，影响<br>
</div>

<div>introspective [ˌɪntrəʊˈspektɪv] adj.自省的，反省的<br>
substantiate [səbˈstænʃi:ˌeɪt] vt.证实，加强<br>
consonant [ˈkɔnsənənt] adj.协调的，一致的<br>
marvel [ˈmɑ:vəl] n.奇迹，罕见的例子<br>
intention [inˈtenʃən] n.意图，目的<br>
betray [biˈtrei] vt.背叛；（非故意地）暴露，显露<br>
methodically [mɪˈθɔdɪkəlɪ] adv.有条理地；井然地<br>
prodigy [ˈprɔdidʒi] n.非凡之人，天才<br>
squarely [ˈskweəli:] adv.直截了当地；干脆地<br>
neon [ni:ən] n.[化]氖；霓虹灯<br>
estimate [ˈestəˌmeit] vt.估计<br>
routinely [ru:ˈti:nlɪ] adv.常规地，例行公事地<br>
literate [ˈlitərit] adj.有文化的，有阅读和写作能力的<br>
vowel [ˈvaʊəl] n.元音<br>
sensitivity [ˌsensɪˈtɪvɪti:] n.敏感<br>
eventually [iˈventjuəli] adv.终于<br>
selection [siˈlekʃən] n.选择，挑选；选集，精选品<br>
civility [sɪˈvɪlɪti:] n.彬彬有礼，斯文<br>
postcard [ˈpəʊstkɑːd] n.明信片<br>
afflict [əˈflikt] vt.折磨；使痛苦<br>
</div>

<div>torque [tɔ:k] n.扭矩<br>
spray [sprei] vt.向…喷射，喷<br>
recognize [ˈrekəɡnaiz] vt.识别，辨认<br>
dweller [ˈdwelə] n.居住者，居民<br>
considerable [kənˈsidərəbl] adj.相当大（多）的；值得考虑的；相...<br>
hilly [ˈhɪli:] adj.多小山的，多坡的<br>
stand [stænd] vt.站立；忍受，容忍<br>
ascending [əˈsendiŋ] adj.上升的，向上的<br>
rooster [ˈru:stə] n.公鸡<br>
astonishing  adj.惊人的，奇迹的<br>
secure [siˈkjuə] adj.安全的；确定无疑的<br>
renovation [ˌrenəˈveiʃən] n.翻新；修复；整修<br>
stagger [ˈstæɡə] vi.蹒跚，摇晃<br>
dentist [ˈdentist] n.牙科医生<br>
sting [stiŋ] v.刺；叮；蜇<br>
intersected  adj.分割的<br>
dietetics [ˌdaɪɪˈtetɪks] n.营养学<br>
progress [ˈprəuɡres] vi.进步，发展<br>
rattlesnake [ˈrætlˌsneɪk] n.响尾蛇<br>
informative [ɪnˈfɔ:mətɪv] adj.提供消息的，见闻广博的<br>
</div>

<div>apply [əˈplai] vi.申请<br>
reversible [riˈvə:səbl] adj.可逆的，可翻转的<br>
log [lɔɡ] vt.记录<br>
legislature [ˈledʒɪˌsleɪtʃə] n.立法机关<br>
igneous [ˈɪgni:əs] adj.（地理）火的，火成的<br>
preliminary [priˈliminəri] adj.预备的，初步的<br>
education [ˌedju:ˈkeiʃən] n.教育，培养<br>
formula [ˈfɔ:mjulə] n.公式；原则<br>
allegory [ˈæliɡəri] n.寓言；讽喻<br>
conform [kənˈfɔ:m] vi.遵守，顺从；符合<br>
fatigue [fəˈti:ɡ] n.疲乏，劳累<br>
massive [ˈmæsiv] adj.巨大的；可观的<br>
commentator [ˈkɔmənˌteɪtə] n.评论员，讲解员<br>
emancipate [ɪˈmænsəˌpeɪt] vt.解放，释放<br>
permission [pəˈmiʃən] n.许可，允许<br>
reputed [rɪˈpju:tɪd] adj.名誉好的，被称为…的，有…名气...<br>
spot [spɔt] v.发觉，发现<br>
loathsome [ˈləʊðsəm] adj.令人讨厌的<br>
muscular [ˈmʌskjulə] adj.强壮的，肌肉发达的<br>
assault [əˈsɔ:lt] n.（武力）袭击；（口头）攻击<br>
</div>

<div>horned [hɔ:nd] adj.有角的，角状的<br>
solo [ˈsəuləu] adj.单独的<br>
apt [æpt] adj.恰当的，贴切的；易于…的<br>
absolutely [ˈæbsəˌlu:tli] adv.完全地；绝对地<br>
envision [enˈvɪʒən] vt.设想；想象；预想<br>
rustic [ˈrʌstɪk] adj.乡村的，乡下风格的<br>
permeate [ˈpə:mieit] vt.弥漫；渗透，透过<br>
assortment [əˈsɔ:tmənt] n.各类物品的聚集，混合物<br>
epic [ˈepik] n.史诗，叙事诗<br>
abandonment [əˈbændəndmənt] n.抛弃；放弃<br>
plank [plæŋk] n.厚木板<br>
discontented [ˌdɪskənˈtentɪd] adj.不满的，不满足的<br>
odor ['əʊdə] n.气味<br>
elementary [ˌeliˈmentəri] adj.基本的，初级的<br>
secular [ˈsekjələ] adj.世俗的，尘世的<br>
industrious [ɪnˈdʌstri:əs] adj.勤劳的；勤奋的<br>
institution [ˌɪnstiˈtju:ʃən] n.机构；惯例<br>
humanitarian [hju:ˌmænɪˈteəri:ən] n.人道主义者<br>
entanglement [ɪnˈtæŋglmənt] n.纠缠，缠绕物；累赘；牵连<br>
mantle [ˈmæntl] n.覆盖物<br>
</div>

<div>ragged [ˈræɡid] adj.褴褛的，破烂的<br>
comparatively [kəmˈpærətɪvlɪ] adv.相对地；比较地<br>
bush [buʃ] n.灌木丛<br>
opposite [ˈɔpəzit] adj.相反的，对立的<br>
vehicle [ˈvi:ɪkl] n.媒介物，传达手段<br>
manually [ˈmænjʊəlɪ] adv.手工地<br>
conservationist [ˌkɔnsɜ:ˈveɪʃənɪst] n.自然资源保护者<br>
obsessed  adj.心神不宁的，着迷的<br>
perform [pəˈfɔ:m] vt.履行，执行；表演，演出<br>
preservation [ˌprezəˈveiʃən] n.保存，贮藏；保护<br>
promote [prəˈməut] vt.晋级，使升级；促进<br>
render [ˈrendə] vt.给予，提供<br>
butter [ˈbʌtə] n.黄油，牛油<br>
constrain [kənˈstrein] vt.限制，约束<br>
frugality [fru:ˈgælɪtɪ] n.节约，俭省<br>
brochure [ˈbrəuʃuə] n.小册子<br>
glacial [ˈɡleisjəl] adj.冰的，冰河的；冰冷的<br>
depressed [dɪˈprest] adj.沮丧的<br>
recession [riˈseʃən] n.萧条时期，（经济）衰退<br>
foray [ˈfɔ:rˌeɪ] n.突袭，偷袭<br>
</div>

<div>founder [ˈfaʊndə] n.创建者，创始人<br>
halt [hɔ:lt] vt.（使）停止<br>
motionless [ˈməʊʃənlɪs] adj.不动的，静止的<br>
predictive [prɪˈdɪktɪv] adj.预言性的，成为先兆的<br>
dietary [ˈdaɪɪˌteri:] adj.饮食的<br>
cater [ˈkeitə] vi.满足需要，迎合<br>
endeavor [enˈdevə] n.努力，尽力<br>
plainly [ˈpleɪnlɪ] adv.清楚地，明显地<br>
dissipated [ˈdɪsəˌpeɪtɪd] adj.沉迷于酒色的，浪荡的<br>
dumb [dʌm] adj.哑的<br>
incredible [inˈkredəbl] adj.难以置信的，惊人的<br>
dilute [daiˈlju:t] vt.稀释，淡化<br>
ripen [ˈraɪpən] v.（使）成熟<br>
retentive [rɪˈtentɪv] vt.保留的，有记忆的<br>
chaos [ˈkeiɔs] n.混乱<br>
maritime [ˈmæritaim] adj.海上的，海事的<br>
perennial [pəˈreni:əl] adj.永恒的，持续的；（植物）多年生...<br>
file [fail] v.归档<br>
spacious [ˈspeiʃəs] adj.广大的，宽敞的<br>
unbroken [ʌnˈbrəʊkən] adj.完整的；持续的<br>
</div>

<div>accounting [əˈkaʊntɪŋ] n.会计；会计学<br>
quilter  n.缝纫者，缝被子的人<br>
sunrise [ˈsʌnraiz] n.日出<br>
robust [rəuˈbʌst] adj.精力充沛的<br>
stimulant [ˈstɪmjələnt] n.刺激物，兴奋剂<br>
administration [ədˌminisˈtreiʃən] n.经营，管理；当局，政府<br>
domesticate [dəˈmestɪˌkeɪt] vt.驯养，驯化<br>
airsickness [ˈeəˌsɪknɪs] n.晕机<br>
ultimatum [ˌʌltiˈmeitəm] n.最后通牒<br>
jogging  n.慢跑<br>
nervous [ˈnə:vəs] adj.神经的；神经紧张的，易激动的<br>
silicate [ˈsilikit] n.[化]硅酸盐<br>
squirt [skwɜ:t] vi.喷出，溅进<br>
altitude [ˈæltitju:d] n.高度<br>
frisky [ˈfrɪski:] adj.活泼的，欢蹦乱跳的<br>
shocked  adj.震惊的，震撼的<br>
sumptuous [ˈsʌmptʃuəs] adj.奢侈的，华丽的<br>
invasion [inˈveiʒən] n.入侵；涌入<br>
lethargic [leˈθɑ:dʒik] adj.昏睡的；没精打采的<br>
conclude [kənˈklu:d] v.推断；作出结论；结束<br>
</div>

<div>stiffen [ˈstɪfən] vt.使硬，使僵硬<br>
resist [riˈzist] vt.不受…影响，抗，耐<br>
sideways [ˈsaidweiz] adv.向一旁，向侧面地<br>
boundary [ˈbaundəri] n.分界线，边界<br>
intersect [ˌɪntəˈsekt] vi.相交<br>
intrusion [ɪnˈtru:ʒən] n.打扰，干扰<br>
intruding  adj.入侵性的<br>
catching [ˈkætʃɪŋ] adj.传染的；有魅力的，迷人的<br>
conscience [ˈkɔnʃəns] n.良心，良知<br>
vanish [ˈvæniʃ] vi.消失；灭绝<br>
ferromagnetic [ˌferəumæɡˈnetik] adj.铁磁的，铁磁体<br>
feminism [ˈfeminizəm] n.女权运动<br>
plateau [ˈplætəu] n.高原，高地<br>
menace [ˈmenəs] vt.威吓；胁迫<br>
precedent [ˈpresidənt] n.先例<br>
colloquialism [kəˈləukwiəliz(ə)m] n.俗话，白话，口语<br>
sanction [ˈsæŋkʃən] n.批准，认可<br>
survive [səˈvaiv] vi.幸免于难，活下来<br>
complement [ˈkɔmplimənt] n.补足物，补充物<br>
adversity [ædˈvɜ:sɪti:] n.不幸，灾难<br>
</div>

<div>relieved [rɪˈli:vd] adj.放心的；免除的<br>
bubble [ˈbʌbl] n.气泡，泡影<br>
competition [ˌkɔmpiˈtiʃən] n.竞争，竞赛<br>
barrier [ˈbæriə] n.屏障，障碍；栅栏<br>
cabin [ˈkæbin] n.小屋；船舱<br>
definitive [diˈfinitiv] adj.决定性的，最后的<br>
acronym [ˈækrəˌnɪm] n.首字母缩写词<br>
lethargy [ˈleθədʒi:] n.昏睡，倦怠<br>
analogy [əˈnælədʒi] n.类比，类推；类似，相似<br>
penetrating [ˈpenɪˌtreɪtɪŋ] adj.（声音）响亮的，刺耳的；（气味...<br>
assess [əˈses] vt.估计，分析，评估<br>
recipe [ˈresəpi] n.食谱，处方<br>
choreographer [ˌkɒriˈɒɡrəfə(r)] n.舞蹈设计者；编舞（者）<br>
retire [riˈtaiə] vi.退休，引退<br>
thunderstorm [ˈθʌndəˌstɔ:m] n.暴风雨<br>
